Pagerank	Ids
0.006173073923865811	486980
0.004268735140231462	285814
0.004108291321414632	163075
0.0038794206134061446	715883
0.003323782604691954	226374
0.003316734859730629	555924
0.003300761292139884	828963
0.0032967132868853143	648543
0.003066253837493503	846221
0.0030473370097966975	772466
0.002618211796794193	648441
0.0026079753419601163	582219
0.002594318681415259	245186
0.0024472461290838835	599130
0.0023827321035295623	32163
0.0023652867771034093	596972
0.0023358672057921404	483532
0.0022461723972746167	396321
0.0022297538964142004	504140
0.0021658558479289353	804489
0.002012398931884537	818382
0.002000204758308844	537039
0.0019851680500509515	543618
0.0019397103067030723	915953
0.0018981956187137836	407610
0.001839485680094293	173976
0.001815133471088238	83679
0.0017570552500440083	172133
0.0017004625263314457	183
0.0016522670992684424	41909
0.0016233682012312405	459074
0.0015628346116929618	623787
0.00152553890850604	223236
0.0015005636023718006	438493
0.00148721233534187	185821
0.001472288339631153	468736
0.0014138553184532287	448961
0.0014083339580065624	7314
0.001374136499155254	384666
0.0013676336448532975	347085
0.0013605831198667134	353654
0.0013543798073754232	603849
0.0013446888971962406	544669
0.0013346831650843628	551829
0.0013280699939967797	699754
0.0013063882954732476	566461
0.0012995015186949416	144662
0.0012932179456489538	877491
0.0012854166724269552	330762
0.0012826902462127574	399699
0.0012694958628362985	402414
0.0012632810180253017	39364
0.0012616380553812775	452291
0.0012609416489180085	114894
0.0012597072765455823	861477
0.0012408606049836009	721816
0.0012287683289653522	855348
0.0012185608630760224	324502
0.0012043886482956416	558791
0.001162338766953407	232639
0.001142196377367136	882782
0.0011278655824125854	38839
0.0011244012815463534	138746
0.001116159699510093	185067
0.0010969130200917598	666882
0.0010856380560718872	418155
0.0010830571228367327	597621
0.0010821660417166166	905532
0.0010597920422104094	213770
0.001054631424578273	885605
0.001051729001873293	712236
0.0010494387205267914	812640
0.0010308937142786538	504165
0.001023819048269731	36292
0.0010157790032655658	670277
0.0010157790032655658	196253
0.0009968873752993878	823898
0.0009745474362135568	540335
0.0009698551533515362	243947
0.00096373658646401	638031
0.0009629661038569378	191990
0.0009555588387050795	687325
0.0009510861696115028	502888
0.0009510053682771002	10778
0.0009489533200059628	808295
0.0009471401451359333	557124
0.000946939033595915	896264
0.0009406163402456981	403482
0.0009405620126331593	443960
0.0009390280700725242	24004
0.0009368866808137979	819223
0.0009293115373231679	870811
0.0009253268689658211	32701
0.0009239005624635501	48888
0.0009166940556412863	424655
0.000904224017727167	97719
0.0009011633095702638	526892
0.0008982522457156849	891714
0.000896736612531062	908351
0.0008939732917465079	632380
0.0008922576895139133	359785
0.0008908742897096833	624323
0.0008908742897096833	713099
0.0008774924915805288	71
0.0008556052008308663	721534
0.0008506190317712662	761488
0.0008419796715932052	394956
0.0008415653091742167	16101
0.0008327833796055163	750938
0.0008267247841350862	622911
0.0008150345597953786	402132
0.0008072045672928444	357645
0.0008068575400897656	583330
0.0008036289822651727	129210
0.0008028849193813529	915633
0.0008026948014362105	3170
0.0007948076867568158	837099
0.0007940100475688908	550293
0.00079313536809873	187455
0.0007917638925177287	481245
0.0007860331560566384	901020
0.0007855455043503446	20514
0.0007818629945256242	679723
0.0007786224019307135	140569
0.0007786224019307135	809725
0.0007750657682026611	441386
0.0007749106442125937	139291
0.0007734122647159387	736915
0.0007537207089459302	536068
0.000753473080947066	124755
0.0007532476746406148	817693
0.0007482948151444561	320374
0.0007480076849840833	717644
0.0007451864081588396	536428
0.0007451593879229403	621670
0.0007446803758540519	874525
0.0007415521929361413	522190
0.0007409250228574759	871807
0.0007394986606320581	92604
0.000737432491569285	211
0.0007343419701699172	832147
0.0006973469621590321	645609
0.0006964093046097367	78244
0.0006882822365272574	494555
0.0006859245729095032	182121
0.0006843508690953622	201953
0.0006811776936341296	466323
0.0006774762837949655	587935
0.0006754291667346662	503917
0.0006752651896409995	161360
0.0006717380291987382	210170
0.0006699554792070941	860578
0.0006673465896612805	438491
0.0006665758467337044	888032
0.0006592486588462098	762917
0.0006530532254769798	779382
0.0006472993664139523	614831
0.0006438713059432615	54147
0.0006367275292262891	599265
0.0006357553033889571	729526
0.0006357553033889571	646796
0.0006325866334444482	342537
0.0006315345032260995	227011
0.0006239858130851917	213432
0.000622642520273056	460355
0.0006192051714162764	24340
0.000617052769219135	605856
0.0006162391352255785	449181
0.0006138820857476926	556129
0.0006106600146112976	817585
0.0006060628733522692	245403
0.0006054047940430695	484690
0.000604551574390554	514471
0.0005999041006873279	604596
0.000598679205898006	645307
0.0005903831672103563	822200
0.0005895122101168017	439155
0.0005887162084518508	220242
0.0005832549269106296	855235
0.0005789335409228767	550365
0.0005774241531624109	151110
0.0005668277981542452	571440
0.000565383533753005	200987
0.0005587150650599194	502809
0.0005583970069123717	751501
0.0005574370155074545	402493
0.0005544202340863535	746615
0.000552833731760362	831420
0.0005527439876497878	183501
